File name,Title,Author,Publisher,Discipline,Year,Metadata Title,Metadata Author
d3.pdf, Latest developments in metal complexes as anticancer agents, Renata Paprocka; Malgrozata Wiese-Szadkowska; Sabina Jaciauskiene; Tomasz Kosmalski; Marcelina Kulik; Anna Helmin-Basa,ELsevier,Chemistry,2021,Yes,One
el1.pdf,"Why people seek complementary and alternative medicine before conventional medical treatment: A population based study","P. Thomson;J. Jones;M. Browne; S.J. Leslie",ELsevier,Medicine,2014,Yes,Yes
el2.pdf,"New insight into the structural changes of apoferritin pores in the process of doxorubicin loading at an acidic pH: Molecular dynamics simulations",Shirin Mollazadeh; Mostafa Yazdimamaghani; Rezvan Yazdian-Robati; Somayeh Pirhadi,ELsevier,Biology,2022,Yes,Yes
el3.pdf,Electronic autoradiography of 133Ba particle emissions; diffusion profiles in granitic rocks,Eveliina Muuri; Tatiana Sorokina; Jérôme Donnard; Sophie Billon; Kerttuli Helariutta; Lasse Koskinen; Andrew Martin; Marja Siitari-Kauppi;,ELsevier,Earth Sciences,2019,Yes,Yes
el4.pdf,PDLLA/Bioglass® composites for soft-tissue and hard-tissue engineering: an in vitro cell biology assessment,Sophie Verrier; Jonny J. Blaker; Veronique Maquet; Larry L. Hench; Aldo R. Boccaccini,ELsevier,Biomaterials,2004,Wrong,No
el5.pdf,"Let’s dance: Organization studies, medical sociology and health policy",Graeme Currie; Robert Dingwall; Martin Kitchener; Justin Waring,ELsevier,Social Science,2012,Close but wrong,Yes
el6.pdf,Sex differences in behavioral and neurochemical effects of gonadectomy and aromatase inhibition in rats,N. Kokras; N. Pastromas; D. Papasava; C. de Bournonville; C.A. Cornil; C. Dalla,ELsevier,Psychoneuroendocrinology,2018,Yes,Yes
el7.pdf,Studies on the novel anti-staphyloccal compound nematophin,Gordon Kennedy; Monica Viziano; John Alexander Winders; Palmina Cavallini; Monica Gevi; Fabrizio Micheli; Pamela Rodegher; Pierfausto Seneci; Aurelia Zumerle,ELsevier,Chemistry,2000,Wrong,No
el8.pdf,Concurrence of big data analytics and healthcare: A systematic review,Nishita Mehta; Anil Pandi,ELsevier,Computer Science,2018,Yes but one wrong character,Yes
el9.pdf,Seeking an optimal approach for Computer-aided Diagnosis of Pulmonary Embolism,Nahid Ul Islam; Zongwei Zhou; Shiv Gehlot; Michael B. Gotway; Jianming Liang,ELsevier,Computer Science,2024,Yes,Yes
el10.pdf,FET-FGVC: Feature-enhanced transformer for fine-grained visual classification,Huazhen Chen; Haimiao Zhang; Chang Liu; Jianpeng An; Zhongke Gao; Jun Qiu,ELsevier,Computer Science,2024,Yes,Yes
el11.pdf,Landmark Detection and 3D Face Reconstruction for Caricature using a Nonlinear Parametric Model,Hongrui Cai; Yudong Guo; Zhuang Peng; Juyong Zhang,ELsevier,Computer Science,2021,Yes,Yes
el12.pdf,"Imperialism and competition in anthropology, sociology, political science and economics: a perspective from development economics",Vernon W Ruttan,ELsevier,Economics,2001,Wrong,No
el13.pdf,The Contribution of Behavioral Economics in Explaining the Decisional Process,Andreea Gradinaru,ELsevier,Economics,2014,Yes,Yes
el14.pdf,On Austrian regional economics,Wim J.M. Heijman; Auke R. Leen,ELsevier,Economics,2004,Yes,Yes
el15.pdf,Yang–Mills physics in spintronics,Seng Ghee Tan; Son-Hsien Chen; Cong Son Ho; Che-Chun Huang; Mansoor B.A. Jalil; Ching Ray Chang; Shuichi Murakami,ELsevier,Physics,2020,No,No
el16.pdf,Physics design of the CIADS 25MeV demo facility,Shu-Hui Liu; Zhi-Jun Wang; Huan Jia; Yuan He; Wei-Ping Dou; Yuan-Shuai Qin; Wei-Long Chen; Fang Yan,ELsevier,Physics,2017,Yes,Yes
el17.pdf,Click chemistry in sphingolipid research,Eduardo Izquierdo; Antonio Delgado,ELsevier,Chemistry,2018,Yes,Yes
el18.pdf,Recent developments in the chemistry of azaferrocenes,Konrad Kowalski,ELsevier,Chemistry,2010,Wrong,No
el19.pdf,Recommendations for the role of social science research in One Health,Maria Knight Lapinski; Julie A. Funk; Lauren T. Moccia,ELsevier,Social Science,2015,Yes,Yes
el20.pdf,Effect of online research data management instruction on social science graduate students’ RDM skills,Zhihong Xu; Xuan Zhou; Ashlynn Kogut; Michael Clough,ELsevier,Social Science,2022,Yes,Yes
E1.pdf,Emergent Solutions to High-Dimensional Multitask Reinforcement Learning,Stephen Kelly; Malcom I. Heywood,MIT,Deep Learning,2018,No,No
E2.pdf,Dense Sample Deep Learning,Stephen José Hansson; Vivek Yadav; Catherine Hanson,MIT,Deep Learning,2024,No,No
E3.pdf,Every Local Minimum Value Is the Global Minimum Value of Induced Model in Nonconvex Machine Learning,Kenji Kawaguch; Jiaoyang Huang; Leslie Pack Kaelbing,MIT,Deep Learning,2019,No,No
E4.pdf,Effect of Depth and Width on Local Minima in Deep Learning,Kenji Kawaguchi; Jiaoyang Huang; Leslie Pack Kaelbing,MIT,Deep Learning,2019,No,No
E5.pdf,White Paper - Cybersecurity in Agile Cloud Computing--Cybersecurity Guidelines for Cloud Access,David Tayouri; Snir Hassidim; Alex Smirnov; Asaf Shabti,MIT,Cybersecurity,2022,Yes,Wrong
E6.pdf,A Comprehensive Cybersecurity Audit Model to Improve Cybersecurity Assurance: The CyberSecurity Audit Model (CSAM),Regner Sabillon; Jordi Serra-Ruiz; Victor Cavaller; Jeimy Cano,MIT,Cybersecurity,2017,Yes,Yes
E7.pdf,Cybersecurity principles for industry and government: A useful framework for efforts globally to improve cybersecurity,Danielle Kriz,MIT,Cybersecurity,2011,Yes,No
E8.pdf,The defects of the Draft African Union Convention on the Establishment of a Credible Legal Framework for Cybersecurity,Uchenna Jerome Orji,MIT,Cybersecurity,2012,Yes,No
E9.pdf,A Study on Weed Detection Based on Improved Yolo v5,Ke Xiong; Qinlian Li; Yusong Meng; Qilin Li,MIT,YOLO,2023,Yes,No
E10.pdf,Tiny YOLO Optimization Oriented Bus Passenger Object Detection,ZHANG Shuo; WU Yanxia; MEN Chaoguang; LI Xiaosong,MIT,YOLO,2020,No,No
E11.pdf,,,,,,,
